1.1,-0.0578991819441687 0.823898478545609 0.458513517212311
1.2,-0.590700340358265 0.211731938156277 -1.32557369901905
1.3,0.420949810887169 0.0476559407005752 -0.116315079324086
1.4,-0.590700340358265 0.211731938156277 -0.590700340358265
1.5,-1.62233848461465 0.366273918511144 0.899043117369237
2.1,-0.903451690500615 -0.590700340358265 0.211731938156277
2.2,-0.590700340358265 -0.590700340358265 0.366273918511144
2.4,-0.458834049396776 -0.843294091975396 0.154448192444669
2.5,-0.671900359186746 1.7641120364153 -0.10927271844907
3.1,1.30028987435881 0.338383613253713 0.555266033439982
3.2,1.20962937075363 -0.242882661178889 1.09253092365124
3.3,-0.161195191984091 -0.671900359186746 1.7641120364153
3.4,0.100001934217311 -1.30380956369388 0.286633588334355
3.5,0.316555063757567 -0.522940888712441 0.28786643052924
4.1,0.342627053981254 0.553770299626224 0.338383613253713
4.2,-0.903451690500615 1.07659722048274 0.152317365781542
4.3,1.28380453408541 -0.522940888712441 -0.442797990776478
4.4,-1.04215728919298 -0.864466507337306 0.625488598331018
4.5,0.223498042876113 -1.41471935455355 -0.116315079324086
5.1,-1.02470580167082 -0.522940888712441 -0.29928234305568
5.2,0.342627053981254 0.199211097885341 -0.787896192088153
5.3,1.51967002306341 -0.852203755696565 0.555266033439982
5.4,-0.104527297798983 1.89254797819741 1.85927724828569
5.5,0.342627053981254 0.908329501367106 1.7641120364153
6.1,1.39927182372944 0.513852869452676 0.689582255992796
6.2,-1.02470580167082 1.89254797819741 1.49394503405693
6.3,0.342627053981254 -0.155348103855541 0.577607033774471
6.4,1.39927182372944 0.513852869452676 0.689582255992796
6.5,-1.02470580167082 1.89254797819741 1.49394503405693
